playerID,yearID,gameNum,gameID,teamID,lgID,GP,startingPos
judgeaa01,2022,0,,,AL,1,
kirkal01,2022,0,,,AL,1,
manoaal01,2022,0,,,AL,1,
beninan01,2022,0,,,AL,1,
gimenan01,2022,0,,,AL,1,
buxtoby01,2022,0,,,AL,1,
holmecl01,2022,0,,,AL,1,
seageco01,2022,0,,,AL,1,
claseem01,2022,0,,,AL,1,
valdefr01,2022,0,,,AL,1,
springe01,2022,0,,,AL,1,
colege01,2022,0,,,AL,1,
stantmi03,2022,0,,,AL,1,
sotogr01,2022,0,,,AL,1,
martijd02,2022,0,,,AL,1,
romanjo03,2022,0,,,AL,1,
lopezjo02,2022,0,,,AL,1,
altuvjo01,2022,0,,,AL,1,
trevijo01,2022,0,,,AL,1,
ramirjo01,2022,0,,,AL,1,
rodriju01,2022,0,,,AL,1,
verlaju01,2022,0,,,AL,1,
tuckeky01,2022,0,,,AL,1,
hendrli01,2022,0,,,AL,1,
arraelu01,2022,0,,,AL,1,
perezma02,2022,0,,,AL,1,
cabremi01,2022,0,,,AL,1,
troutmi01,2022,0,,,AL,1,
cortene01,2022,0,,,AL,1,
blackpa01,2022,0,,,AL,1,
deverra01,2022,0,,,AL,1,
espinsa01,2022,0,,,AL,1,
mcclash01,2022,0,,,AL,1,
ohtansh01,2022,0,,,AL,1,
anderti01,2022,0,,,AL,1,
francty01,2022,0,,,AL,1,
guerrvl02,2022,0,,,AL,1,
bogaexa01,2022,0,,,AL,1,
alvaryo01,2022,0,,,AL,1,
pujolal01,2022,0,,,NL,1,
rileyau01,2022,0,,,NL,1,
harpebr03,2022,0,,,NL,1,
croncj01,2022,0,,,NL,1,
rodonca01,2022,0,,,NL,1,
kershcl01,2022,0,,,NL,1,
burneco01,2022,0,,,NL,1,
swansda01,2022,0,,,NL,1,
bednada01,2022,0,,,NL,1,
willide03,2022,0,,,NL,1,
diazed04,2022,0,,,NL,1,
freemfr01,2022,0,,,NL,1,
coopega03,2022,0,,,NL,1,
happia01,2022,0,,,NL,1,
croneja01,2022,0,,,NL,1,
chishja01,2022,0,,,NL,1,
mcneije01,2022,0,,,NL,1,
pederjo01,2022,0,,,NL,1,
mantijo01,2022,0,,,NL,1,
musgrjo01,2022,0,,,NL,1,
haderjo01,2022,0,,,NL,1,
sotoju01,2022,0,,,NL,1,
schwaky01,2022,0,,,NL,1,
castilu02,2022,0,,,NL,1,
machama01,2022,0,,,NL,1,
friedma01,2022,0,,,NL,1,
mikolmi01,2022,0,,,NL,1,
bettsmo01,2022,0,,,NL,1,
arenano01,2022,0,,,NL,1,
goldspa01,2022,0,,,NL,1,
alonspe01,2022,0,,,NL,1,
acunaro01,2022,0,,,NL,1,
helslry01,2022,0,,,NL,1,
alcansa01,2022,0,,,NL,1,
martest01,2022,0,,,NL,1,
gonsoto01,2022,0,,,NL,1,
darnatr01,2022,0,,,NL,1,
turnetr01,2022,0,,,NL,1,
anderty01,2022,0,,,NL,1,
contrwi02,2022,0,,,NL,1,
contrwi01,2022,0,,,NL,1,
judgeaa01,2023,0,,,AL,1,
rutscad01,2023,0,,,AL,1,
garciad02,2023,0,,,AL,1,
haysau01,2023,0,,,AL,1,
bichebo01,2023,0,,,AL,1,
rookebr01,2023,0,,,AL,1,
estevca01,2023,0,,,AL,1,
seageco01,2023,0,,,AL,1,
